"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"39","Daniel Briere","PHI","C","41","1977-10-06","Gatineau","QC","CAN","CAN","69","174","1996","PHX","1","24","24"
"288","Daniel Carcillo","CHI","L","34","1985-01-28","King City","ON","CAN","CAN","72","200","2003","PIT","3","5","73"
"62","Daniel Cleary","DET","R","40","1978-12-18","Carbonear","NL","CAN","CAN","73","205","1997","CHI","1","13","13"
"239","Daniel Paille","BOS","L","34","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
"105","Daniel Sedin","VAN","L","38","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"381","Daniel Winnik","ANA","L","34","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"837","Danny DeKeyser","DET","D","29","1990-03-07","Detroit","MI","USA","USA","75","192","-","-","-","-","-"
"130","Dany Heatley","MIN","L","38","1981-01-21","Freiburg","","DEU","CAN","75","212","2000","ATL","1","2","2"
"154","Darcy Hordichuk","EDM","L","38","1980-08-10","Kamsack","SK","CAN","CAN","73","215","2000","ATL","6","13","180"
"431","Darren Helm","DET","C","32","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"522","Darroll Powe","MIN, NYR","C","33","1985-06-22","Saskatoon","SK","CAN","CAN","71","212","-","-","-","-","-"
"340","Dave Bolland","CHI","C","32","1986-06-05","Mimico","ON","CAN","CAN","72","188","2004","CHI","2","2","32"
"749","Dave Dziurzynski","OTT","L","29","1989-10-06","Lloydminster","AB","CAN","CAN","75","224","-","-","-","-","-"
"286","David Backes","STL","R","34","1984-05-01","Minneapolis","MN","USA","USA","75","215","2003","STL","2","32","62"
"345","David Booth","VAN","L","34","1984-11-24","Detroit","MI","USA","USA","72","212","2004","FLA","2","23","53"
"321","David Clarkson","N.J","R","35","1984-03-31","Toronto","ON","CAN","CAN","72","207","-","-","-","-","-"
"451","David Desharnais","MTL","C","32","1986-09-14","Laurier-Station","QC","CAN","CAN","67","180","-","-","-","-","-"
"318","David Jones","COL","R","34","1984-08-10","Guelph","ON","CAN","CAN","75","208","2003","COL","9","27","288"
"349","David Krejci","BOS","C","32","1986-04-28","Sternberk","","CZE","CZE","72","188","2004","BOS","2","33","63"
"75","David Legwand","NSH","C","38","1980-08-17","Detroit","MI","USA","USA","74","207","1998","NSH","1","2","2"
"197","David Moss","PHX","R","37","1981-12-28","Livonia","MI","USA","USA","76","210","2001","CGY","7","24","220"
"565","David Perron","STL","L","30","1988-05-28","Sherbrooke","QC","CAN","CAN","72","200","2007","STL","1","26","26"
"704","David Rundblad","PHX","D","28","1990-10-08","Lycksele","","SWE","SWE","74","187","2009","STL","1","17","17"
"725","David Savard","CBJ","D","28","1990-10-22","St. Hyacinthe","QC","CAN","CAN","74","227","2009","CBJ","4","3","94"
"512","David Schlemko","PHX","D","31","1987-05-07","Edmonton","AB","CAN","CAN","73","191","-","-","-","-","-"
"174","David Steckel","ANA, TOR","C","37","1982-03-15","Milwaukee","WI","USA","USA","78","215","2001","L.A","1","30","30"
"641","David Ullstrom","NYI","L","29","1989-04-22","Jönköping","","SWE","SWE","74","188","2008","NYI","4","11","102"
"234","David Van Der Gulik","COL","L","35","1983-04-20","Abbotsford","BC","CAN","CAN","70","173","2002","CGY","7","9","206"
"595","Davis Drewiske","L.A, MTL","D","34","1984-11-22","Hudson","WI","USA","USA","74","222","-","-","-","-","-"
"191","Dennis Seidenberg","BOS","D","37","1981-07-18","Schwenningen","","DEU","DEU","72","199","2001","PHI","6","7","172"
"205","Dennis Wideman","CGY","D","36","1983-03-20","Kitchener","ON","CAN","CAN","72","202","2002","BUF","8","12","241"
"464","Derek Dorsett","CBJ","R","32","1986-12-20","Kindersley","SK","CAN","CAN","72","192","2006","CBJ","7","6","189"
"647","Derek Grant","OTT","C","28","1990-04-20","Abbotsford","BC","CAN","CAN","75","215","2008","OTT","4","28","119"
"434","Derek Joslin","VAN","D","32","1987-03-17","Richmond Hill","ON","CAN","CAN","73","210","2005","S.J","5","24","149"
"117","Derek MacKenzie","CBJ","C","37","1981-06-11","Sudbury","ON","CAN","CAN","71","177","1999","ATL","5","2","128"
"215","Derek Meech","WPG","D","34","1984-04-21","Winnipeg","MB","CAN","CAN","71","200","2002","DET","7","32","229"
"37","Derek Morris","PHX","D","40","1978-08-24","Edmonton","AB","CAN","CAN","72","210","1996","CGY","1","13","13"
"175","Derek Roy","DAL, VAN","C","35","1983-05-04","Ottawa","ON","CAN","CAN","69","184","2001","BUF","2","2","32"
"526","Derek Smith","CGY","D","34","1984-10-13","Belleville","ON","CAN","CAN","73","197","-","-","-","-","-"
"630","Derek Stepan","NYR","C","28","1990-06-18","Hastings","MN","USA","USA","72","196","2008","NYR","2","21","51"
"488","Derick Brassard","CBJ, NYR","C","31","1987-09-22","Hull","QC","CAN","CAN","73","202","2006","CBJ","1","6","6"
"155","Deryk Engelland","PIT","D","37","1982-04-03","Edmonton","AB","CAN","CAN","74","214","2000","N.J","6","27","194"
"762","Devante Smith-Pelly","ANA","R","26","1992-06-14","Scarborough","ON","CAN","CAN","72","223","2010","ANA","2","12","42"
"399","Devin Setoguchi","MIN","R","32","1987-01-01","Taber","AB","CAN","CAN","72","205","2005","S.J","1","8","8"
"263","Dion Phaneuf","TOR","D","34","1985-04-10","Edmonton","AB","CAN","CAN","75","222","2003","CGY","1","9","9"
"802","Dmitrij Jaskin","STL","R","26","1993-03-23","Omsk","","RUS","CZE","74","216","2011","STL","2","11","41"
"701","Dmitry Kulikov","FLA","D","28","1990-10-29","Lipetsk","","RUS","RUS","73","204","2009","FLA","1","14","14"
"714","Dmitry Orlov","WSH","D","27","1991-07-23","Novokuznetsk","","RUS","RUS","71","212","2009","WSH","2","25","55"
"811","Dougie Hamilton","BOS","D","25","1993-06-17","Toronto","ON","CAN","CAN","78","229","2011","BOS","1","9","9"
"123","Douglas Murray","PIT, S.J","D","39","1980-03-12","Bromma","","SWE","SWE","75","240","1999","S.J","8","26","241"
"571","Drayson Bowman","CAR","L","30","1989-03-08","Grand Rapids","MI","USA","USA","73","195","2007","CAR","3","11","72"
"601","Drew Doughty","L.A","D","29","1989-12-08","London","ON","CAN","CAN","73","202","2008","L.A","1","2","2"
"838","Drew LeBlanc","CHI","C","29","1989-06-29","Duluth","MN","USA","USA","72","194","-","-","-","-","-"
"306","Drew Miller","DET","L","35","1984-02-17","Dover","NJ","USA","USA","74","183","2003","ANA","6","19","186"
"718","Drew Shore","FLA","C","28","1991-01-29","Denver","CO","USA","USA","75","205","2009","FLA","2","14","44"
"331","Drew Stafford","BUF","R","33","1985-10-30","Milwaukee","WI","USA","USA","74","215","2004","BUF","1","13","13"
"246","Duncan Keith","CHI","D","35","1983-07-16","Winnipeg","MB","CAN","CAN","73","192","2002","CHI","2","24","54"
"265","Dustin Brown","L.A","R","34","1984-11-04","Ithaca","NY","USA","USA","72","210","2003","L.A","1","13","13"
"313","Dustin Byfuglien","WPG","D","34","1985-03-27","Roseau","MN","USA","USA","77","260","2003","CHI","8","16","245"
"572","Dustin Jeffrey","PIT","L","31","1988-02-27","Sarnia","ON","CAN","CAN","73","205","2007","PIT","6","20","171"
"324","Dustin Penner","L.A","R","36","1982-09-28","Winkler","MB","CAN","CAN","76","247","-","-","-","-","-"
"564","Dwight King","L.A","L","29","1989-07-05","Meadow Lake","SK","CAN","CAN","76","229","2007","L.A","4","18","109"
"308","Dylan Reese","PIT","D","34","1984-08-29","Pittsburgh","PA","USA","USA","73","205","2003","NYR","7","12","209"
"18","Ed Jovanovski","FLA","D","42","1976-06-26","Windsor","ON","CAN","CAN","75","220","1994","FLA","1","1","1"
"770","Emerson Etem","ANA","L","26","1992-06-16","Long Beach","CA","USA","USA","73","212","2010","ANA","1","29","29"
"48","Eric Belanger","EDM","C","41","1977-12-16","Sherbrooke","QC","CAN","CAN","71","185","1996","L.A","4","16","96"
"26","Eric Boulton","NYI","L","42","1976-08-17","Halifax","NS","CAN","CAN","72","227","1994","NYR","9","26","234"
"60","Eric Brewer","T.B","D","39","1979-04-17","Vernon","BC","CAN","CAN","76","216","1997","NYI","1","5","5"
"269","Eric Fehr","WSH","C","33","1985-09-07","Winkler","MB","CAN","CAN","76","209","2003","WSH","1","18","18"
"713","Eric Gelinas","N.J","D","27","1991-05-08","Vanier","ON","CAN","CAN","76","215","2009","N.J","2","24","54"
"471","Eric Gryba","OTT","D","30","1988-04-14","Saskatoon","SK","CAN","CAN","76","222","2006","OTT","3","5","68"
"232","Eric Nystrom","DAL","L","36","1983-02-14","Syosset","NY","USA","USA","73","200","2002","CGY","1","10","10"
"600","Eric Selleck","FLA","L","31","1987-10-20","Brockville","ON","CAN","CAN","74","208","-","-","-","-","-"
"257","Eric Staal","CAR","C","34","1984-10-29","Thunder Bay","ON","CAN","CAN","76","207","2003","CAR","1","2","2"
"537","Eric Tangradi","PIT, WPG","L","30","1989-02-10","Philadelphia","PA","USA","USA","76","226","2007","ANA","2","12","42"
"674","Eric Wellwood","PHI","L","29","1990-03-06","Windsor","ON","CAN","CAN","71","180","2009","PHI","6","21","172"
"89","Erik Cole","DAL, MTL","L","40","1978-11-06","Oswego","NY","USA","USA","74","205","1998","CAR","3","13","71"
"503","Erik Condra","OTT","R","32","1986-08-06","Trenton","MI","USA","USA","71","185","2006","OTT","7","28","211"
"775","Erik Gudbranson","FLA","D","27","1992-01-07","Ottawa","ON","CAN","CAN","77","217","2010","FLA","1","3","3"
"747","Erik Gustafsson","PHI","D","30","1988-12-15","Kvissleby","","SWE","SWE","70","180","-","-","-","-","-"
"465","Erik Johnson","COL","D","31","1988-03-21","Bloomington","MN","USA","USA","76","225","2006","STL","1","1","1"
"613","Erik Karlsson","OTT","D","28","1990-05-31","Landsbro","","SWE","SWE","72","190","2008","OTT","1","15","15"
"693","Evander Kane","WPG","L","27","1991-08-02","Vancouver","BC","CAN","CAN","74","210","2009","ATL","1","4","4"
"326","Evgeni Malkin","PIT","C","32","1986-07-31","Magnitogorsk","","RUS","RUS","75","195","2004","PIT","1","2","2"
"177","Fedor Tyutin","CBJ","D","35","1983-07-19","Izhevsk","","RUS","RUS","74","221","2001","NYR","2","10","40"
"833","Filip Forsberg","NSH","L","24","1994-08-13","Ostervala","","SWE","SWE","73","205","2012","WSH","1","11","11"
"34","Filip Kuba","FLA","D","42","1976-12-29","Ostrava","","CZE","CZE","76","225","1995","FLA","8","10","192"
"54","Francis Bouillon","MTL","D","43","1975-10-17","New York City","NY","USA","USA","68","194","-","-","-","-","-"
"305","Francis Wathier","DAL","L","34","1984-12-07","St. Isidore","ON","CAN","CAN","76","210","2003","DAL","6","18","185"
"90","Francois Beauchemin","ANA","D","38","1980-06-04","Sorel","QC","CAN","CAN","71","208","1998","MTL","3","17","75"
"799","Frank Corrado","VAN","D","26","1993-03-26","Toronto","ON","CAN","CAN","72","205","2011","VAN","5","29","150"
"224","Frans Nielsen","NYI","C","34","1984-04-24","Herning","","DNK","DNK","73","188","2002","NYI","3","24","87"
"515","Frazer McLaren","S.J, TOR","L","31","1987-10-29","Winnipeg","MB","CAN","CAN","77","230","2007","S.J","7","22","203"
"731","Gabriel Bourque","NSH","L","28","1990-09-23","Rimouski","QC","CAN","CAN","70","206","2009","NSH","5","11","132"
"728","Gabriel Dumont","MTL","C","28","1990-10-06","Ville Degelis","QC","CAN","CAN","70","190","2009","MTL","5","18","139"
"805","Gabriel Landeskog","COL","L","26","1992-11-23","Stockholm","","SWE","SWE","73","215","2011","COL","1","2","2"
"121","George Parros","FLA","R","39","1979-12-29","Washington","PA","USA","USA","77","224","1999","L.A","8","7","222"
"382","Grant Clitsome","WPG","D","33","1985-04-14","Gloucester","ON","CAN","CAN","71","211","2004","CBJ","9","13","271"
"649","Greg Pateryn","MTL","D","28","1990-06-20","Sterling Heights","MI","USA","USA","75","223","2008","TOR","5","7","128"
"518","Greg Rallo","FLA","C","37","1981-08-26","Gurnee","IL","USA","USA","72","195","-","-","-","-","-"
"152","Greg Zanon","COL","D","38","1980-06-05","Burnaby","BC","CAN","CAN","71","201","2000","OTT","5","26","156"
"230","Gregory Campbell","BOS","C","35","1983-12-17","London","ON","CAN","CAN","72","188","2002","FLA","3","4","67"
"393","Guillaume Latendresse","OTT","L","31","1987-05-24","Ste-Catherine","QC","CAN","CAN","74","230","2005","MTL","2","15","45"
"645","Gustav Nyquist","DET","R","29","1989-09-01","Halmstad","","SWE","SWE","71","184","2008","DET","4","30","121"
"15","Hal Gill","NSH","D","44","1975-04-06","Concord","MA","USA","USA","79","243","1993","BOS","8","25","207"
"828","Harri Pesonen","N.J","C","30","1988-08-06","Muurame","","FIN","FIN","72","195","-","-","-","-","-"
"791","Harry Zolnierczyk","PHI","L","31","1987-09-01","Toronto","ON","CAN","CAN","71","180","-","-","-","-","-"
"106","Henrik Sedin","VAN","C","38","1980-09-26","Ornskoldsvik","","SWE","SWE","74","183","1999","VAN","1","3","3"
"65","Henrik Tallinder","N.J","D","40","1979-01-10","Stockholm","","SWE","SWE","76","209","1997","BUF","2","22","48"
"119","Henrik Zetterberg","DET","L","38","1980-10-09","Njurunda","","SWE","SWE","72","197","1999","DET","7","24","210"
"535","Ian Cole","STL","D","30","1989-02-21","Ann Arbor","MI","USA","USA","73","219","2007","STL","1","18","18"
"243","Ian White","DET","D","34","1984-06-04","Steinbach","MB","CAN","CAN","70","191","2002","TOR","6","25","191"
"160","Ilya Kovalchuk","N.J","R","35","1983-04-15","Tver","","RUS","RUS","75","222","2001","ATL","1","1","1"
"816","J.T. Miller","NYR","L","26","1993-03-14","East Palestine","OH","USA","USA","73","218","2011","NYR","1","15","15"
"596","Jack Hillen","WSH","D","33","1986-01-24","Minnetonka","MN","USA","USA","70","190","-","-","-","-","-"
"396","Jack Johnson","CBJ","D","32","1987-01-13","Indianapolis","IN","USA","USA","73","227","2005","CAR","1","3","3"
"398","Jack Skille","FLA","R","31","1987-05-19","Madison","WI","USA","USA","73","216","2005","CHI","1","7","7"
"706","Jacob Josefson","N.J","C","28","1991-03-02","Stockholm","","SWE","SWE","72","196","2009","N.J","1","20","20"
"768","Jaden Schwartz","STL","L","26","1992-06-25","Wilcox","SK","CAN","CAN","70","190","2010","STL","1","14","14"
"368","Jake Dowell","MIN","C","34","1985-03-04","Eau Claire","WI","USA","USA","72","200","2004","CHI","5","11","140"
"615","Jake Gardiner","TOR","D","28","1990-07-04","Minnetonka","MN","USA","USA","74","203","2008","ANA","1","17","17"
"579","Jake Muzzin","L.A","D","30","1989-02-21","Woodstock","ON","CAN","CAN","75","213","2007","PIT","5","20","141"
"688","Jakob Silfverberg","OTT","R","28","1990-10-13","Gävle","","SWE","SWE","74","204","2009","OTT","2","9","39"
"404","Jakub Kindl","DET","D","32","1987-02-10","Sumperk","","CZE","CZE","75","199","2005","DET","1","19","19"
"578","Jakub Voracek","PHI","R","29","1989-08-15","Kladno","","CZE","CZE","74","214","2007","CBJ","1","7","7"
"14","Jamal Mayers","CHI","R","44","1974-10-24","Toronto","ON","CAN","CAN","73","222","1993","STL","4","11","89"
"412","James Neal","PIT","L, R","31","1987-09-03","Whitby","ON","CAN","CAN","74","212","2005","DAL","2","3","33"
"485","James Sheppard","S.J","C","30","1988-04-25","Halifax","NS","CAN","CAN","73","215","2006","MIN","1","9","9"
"544","James van Riemsdyk","TOR","L","29","1989-05-04","Middletown","NJ","USA","USA","75","217","2007","PHI","1","2","2"
"238","James Wisniewski","CBJ","D","35","1984-02-21","Canton","MI","USA","USA","71","203","2002","CHI","5","25","156"
"644","James Wright","WPG","C","29","1990-03-24","Saskatoon","SK","CAN","CAN","76","210","2008","T.B","4","26","117"
"532","Jamie Benn","DAL","L","29","1989-07-18","Victoria","BC","CAN","CAN","74","205","2007","DAL","5","8","129"
"12","Jamie Langenbrunner","STL","R","43","1975-07-24","Cloquet","MN","USA","USA","73","205","1993","DAL","2","9","35"
"498","Jamie McBain","CAR","D","31","1988-02-25","Edina","MN","USA","USA","73","195","2006","CAR","2","33","63"
"469","Jamie McGinn","COL","L","30","1988-08-05","Fergus","ON","CAN","CAN","73","205","2006","S.J","2","6","36"
"815","Jamie Oleksiak","DAL","D","26","1992-12-21","Toronto","ON","CAN","CAN","79","255","2011","DAL","1","14","14"
"293","Jamie Tardif","BOS","R","34","1985-01-23","Welland","ON","CAN","CAN","72","199","2003","CGY","4","11","112"
"292","Jan Hejda","COL","D","40","1978-06-18","Prague","","CZE","CZE","76","230","2003","BUF","4","5","106"
"497","Jan Mursak","DET","L","31","1988-01-20","Maribor","","SVN","SVN","71","190","2006","DET","6","29","182"
"384","Jannik Hansen","VAN","R","33","1986-03-15","Rødovre","","DNK","DNK","73","198","2004","VAN","9","29","287"
"427","Jared Boll","CBJ","R","32","1986-05-13","Charlotte","NC","USA","USA","75","206","2005","CBJ","4","10","101"
"697","Jared Cowen","OTT","D","28","1991-01-25","Saskatoon","SK","CAN","CAN","77","238","2009","OTT","1","9","9"
"655","Jared Spurgeon","MIN","D","29","1989-11-29","Edmonton","AB","CAN","CAN","69","167","2008","NYI","6","5","156"
"631","Jared Staal","CAR","R","28","1990-08-21","Thunder Bay","ON","CAN","CAN","76","210","2008","PHX","2","19","49"
"30","Jarome Iginla","CGY, PIT","R","41","1977-07-01","Edmonton","AB","CAN","CAN","73","210","1995","DAL","1","11","11"
"1","Jaromir Jagr","BOS, DAL","R","47","1972-02-15","Kladno","","CZE","CZE","75","230","1990","PIT","1","5","5"
"781","Jarred Tinordi","MTL","D","27","1992-02-20","Burnsville","MN","USA","USA","78","230","2010","MTL","1","22","22"
"145","Jarret Stoll","L.A","C","36","1982-06-24","Melville","SK","CAN","CAN","73","216","2002","EDM","2","6","36"
"786","Jason Akeson","PHI","R","28","1990-06-03","Ottawa","ON","CAN","CAN","70","185","-","-","-","-","-"
"67","Jason Chimera","WSH","L","39","1979-05-02","Edmonton","AB","CAN","CAN","75","215","1997","EDM","5","15","121"
"590","Jason Demers","S.J","D","30","1988-06-09","Dorval","QC","CAN","CAN","73","195","2008","S.J","7","5","186"
"597","Jason Garrison","VAN","D","34","1984-11-13","White Rock","BC","CAN","CAN","73","218","-","-","-","-","-"
"180","Jason Pominville","BUF, MIN","R","36","1982-11-30","Repentigny","QC","CAN","USA","72","180","2001","BUF","2","25","55"
"161","Jason Spezza","OTT","C","35","1983-06-13","Toronto","ON","CAN","CAN","75","215","2001","OTT","1","2","2"
"753","Jason Zucker","MIN","L","27","1992-01-16","Newport Beach","CA","USA","USA","71","183","2010","MIN","2","29","59"
"593","Jay Beagle","WSH","C","33","1985-10-16","Calgary","AB","CAN","CAN","75","210","-","-","-","-","-"
"225","Jay Bouwmeester","CGY, STL","D","35","1983-09-27","Edmonton","AB","CAN","CAN","76","206","2002","FLA","1","3","3"
"183","Jay Harrison","CAR","D","36","1982-11-03","Oshawa","ON","CAN","CAN","76","188","2001","TOR","3","19","82"
"181","Jay McClement","TOR","C","36","1983-03-02","Kingston","ON","CAN","CAN","73","205","2001","STL","2","27","57"
"11","Jay Pandolfo","BOS","L","44","1974-12-27","Winchester","MA","USA","USA","73","190","1993","N.J","2","6","32"
"311","Jay Rosehill","PHI","L","33","1985-07-16","Olds","AB","CAN","CAN","75","215","2003","T.B","7","30","227"
"801","Jean-Gabriel Pageau","OTT","C","26","1992-11-11","Ottawa","ON","CAN","CAN","70","184","2011","OTT","4","5","96"
"264","Jeff Carter","L.A","C","34","1985-01-01","London","ON","CAN","CAN","75","219","2003","PHI","1","11","11"
"104","Jeff Halpern","MTL, NYR","C","42","1976-05-03","Washington","DC","USA","USA","72","190","-","-","-","-","-"
"478","Jeff Petry","EDM","D","31","1987-12-09","Ann Arbor","MI","USA","USA","75","197","2006","EDM","2","15","45"
"337","Jeff Schultz","WSH","D","33","1986-02-25","Calgary","AB","CAN","CAN","78","225","2004","WSH","1","27","27"
"773","Jeff Skinner","CAR","L","26","1992-05-16","Toronto","ON","CAN","CAN","71","187","2010","CAR","1","7","7"
"719","Jeremy Morin","CHI","L","27","1991-04-16","Auburn","NY","USA","USA","73","195","2009","ATL","2","15","45"
"825","Jeremy Welsh","CAR","C","30","1988-04-30","Bayfield","ON","CAN","CAN","75","210","-","-","-","-","-"
"124","Jerred Smithson","EDM, FLA","C","40","1979-02-04","Vernon","BC","CAN","CAN","75","209","-","-","-","-","-"
"480","Jesse Joensuu","NYI","L","31","1987-10-05","Pori","","FIN","FIN","76","213","2006","NYI","2","30","60"
"536","Jim O'Brien","OTT","C","30","1989-01-29","Maplewood","MN","USA","USA","75","195","2007","OTT","1","29","29"
"248","Jim Slater","WPG","C","36","1982-12-09","Lapeer","MI","USA","USA","72","195","2002","ATL","1","30","30"
"634","Jimmy Hayes","CHI","R","29","1989-11-21","Dorchester","MA","USA","USA","77","215","2008","TOR","2","30","60"
"236","Jiri Hudler","CGY","R","35","1984-01-04","Olomouc","","CZE","CZE","70","190","2002","DET","2","28","58"
"473","Jiri Tlusty","CAR","L","31","1988-03-16","Slany","","CZE","CZE","72","205","2006","TOR","1","13","13"
"582","Joakim Andersson","DET","C","30","1989-02-05","Munkedal","","SWE","SWE","74","211","2007","DET","3","27","88"
"31","Jochen Hecht","BUF","C","41","1977-06-21","Mannheim","","DEU","DEU","73","198","1995","STL","2","23","49"
"35","Jody Shelley","PHI","L","43","1976-02-07","Thompson","MB","CAN","CAN","75","230","-","-","-","-","-"
"612","Joe Colborne","TOR","C","29","1990-01-30","Calgary","AB","CAN","CAN","77","221","2008","BOS","1","16","16"
"66","Joe Corvo","CAR","D","41","1977-06-20","Oak Park","IL","USA","USA","72","204","1997","L.A","4","3","83"
"408","Joe Finley","NYI","D","31","1987-06-29","Edina","MN","USA","USA","80","245","2005","WSH","1","27","27"
"307","Joe Pavelski","S.J","C","34","1984-07-11","Plover","WI","USA","USA","71","190","2003","S.J","7","8","205"
"57","Joe Thornton","S.J","C","39","1979-07-02","London","ON","CAN","CAN","76","220","1997","BOS","1","1","1"
"442","Joe Vitale","PIT","C","33","1985-08-20","St. Louis","MO","USA","USA","71","205","2005","PIT","7","1","195"
"126","Joel Ward","WSH","R","38","1980-12-02","North York","ON","CAN","CAN","73","225","-","-","-","-","-"
"227","Joey Crabb","WSH","R","36","1983-04-03","Anchorage","AK","USA","USA","73","188","2002","NYR","7","29","226"
"237","Joffrey Lupul","TOR","L","35","1983-09-23","Fort Saskatchewan","AB","CAN","CAN","73","206","2002","ANA","1","7","7"
"356","Johan Franzen","DET","R","39","1979-12-23","Vetlanda","","SWE","SWE","76","232","2004","DET","3","32","97"
"756","Johan Larsson","MIN","C","26","1992-07-25","Lau","","SWE","SWE","71","202","2010","MIN","2","26","56"
"620","John Carlson","WSH","D","29","1990-01-10","Natick","MA","USA","USA","75","218","2008","WSH","1","27","27"
"85","John Erskine","WSH","D","38","1980-06-26","Kingston","ON","CAN","CAN","76","220","1998","DAL","2","12","39"
"300","John Mitchell","COL","C","34","1985-01-22","Oakville","ON","CAN","CAN","73","204","2003","TOR","5","22","158"
"707","John Moore","CBJ, NYR","D","28","1990-11-19","Winnetka","IL","USA","USA","74","210","2009","CBJ","1","21","21"
"516","John Scott","BUF","L","36","1982-09-26","Edmonton","AB","CAN","CAN","80","260","-","-","-","-","-"
"690","John Tavares","NYI","C","28","1990-09-20","Mississauga","ON","CAN","CAN","73","209","2009","NYI","1","1","1"
"153","John-Michael Liles","TOR","D","38","1980-11-25","Indianapolis","IN","USA","USA","70","185","2000","COL","5","29","159"
"233","Johnny Boychuk","BOS","D","35","1984-01-19","Edmonton","AB","CAN","CAN","74","227","2002","COL","2","31","61"
"198","Johnny Oduya","CHI","D","37","1981-10-01","Stockholm","","SWE","SWE","72","191","2001","WSH","7","25","221"
"812","Jonas Brodin","MIN","D","25","1993-07-12","Karlstad","","SWE","SWE","73","198","2011","MIN","1","10","10"
"252","Jonathan Ericsson","DET","D","35","1984-03-02","Karlskrona","","SWE","SWE","76","220","2002","DET","9","31","291"
"806","Jonathan Huberdeau","FLA","L","25","1993-06-04","Saint-Jerome","QC","CAN","CAN","73","200","2011","FLA","1","3","3"
"820","Jonathan Marchessault","CBJ","C","28","1990-12-27","Cap-Rouge","QC","CAN","CAN","69","174","-","-","-","-","-"
"508","Jonathan Rheault","FLA","R","32","1986-08-01","Arlington","TX","USA","USA","70","202","2006","PHI","5","22","145"
"506","Jonathan Toews","CHI","C","30","1988-04-29","Winnipeg","MB","CAN","CAN","74","201","2006","CHI","1","3","3"
"580","Jonathon Blum","NSH","D","30","1989-01-30","Long Beach","CA","USA","USA","73","188","2007","NSH","1","23","23"
"223","Joni Pitkanen","CAR","D","35","1983-09-19","Oulu","","FIN","FIN","75","220","2002","PHI","1","4","4"
"784","Joonas Rask","NSH","C","29","1990-03-24","Savonlinna","","FIN","FIN","71","168","2010","NSH","7","18","198"
"681","Jordan Caron","BOS","R","28","1990-11-02","Sayabec","QC","CAN","CAN","75","204","2009","BOS","1","25","25"
"618","Jordan Eberle","EDM","C, R","28","1990-05-15","Regina","SK","CAN","CAN","71","187","2008","EDM","1","22","22"
