"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"454","Jordan Hendry","ANA","D","35","1984-02-23","Lanigan","SK","CAN","CAN","72","194","-","-","-","-","-"
"111","Jordan Leopold","BUF, STL","D","38","1980-08-03","Golden Valley","MN","USA","USA","73","206","1999","ANA","2","16","44"
"736","Jordan Nolan","L.A","C","29","1989-06-23","Garden River, First Nations","ON","CAN","CAN","75","219","2009","L.A","7","5","186"
"678","Jordan Schroeder","VAN","C","28","1990-09-29","Lakeville","MN","USA","USA","69","170","2009","VAN","1","22","22"
"483","Jordan Staal","CAR","C","30","1988-09-10","Thunder Bay","ON","CAN","CAN","76","220","2006","PIT","1","2","2"
"666","Jordie Benn","DAL","D","31","1987-07-26","Victoria","BC","CAN","CAN","74","199","-","-","-","-","-"
"186","Jordin Tootoo","DET","R","36","1983-02-02","Churchill","MB","CAN","CAN","69","195","2001","NSH","4","2","98"
"609","Josh Bailey","NYI","R","29","1989-10-02","Bowmanville","ON","CAN","CAN","73","212","2008","NYI","1","9","9"
"253","Josh Gorges","MTL","D","34","1984-08-14","Kelowna","BC","CAN","CAN","73","204","-","-","-","-","-"
"358","JT Wyman","T.B","R","33","1986-02-27","Edina","MN","USA","USA","74","209","2004","MTL","4","2","100"
"195","Jussi Jokinen","CAR, PIT","L","36","1983-04-01","Kalajoki","","FIN","FIN","72","191","2001","DAL","6","27","192"
"414","Justin Abdelkader","DET","L","32","1987-02-25","Muskegon","MI","USA","USA","74","214","2005","DET","2","12","42"
"538","Justin Braun","S.J","D","32","1987-02-10","Minneapolis","MN","USA","USA","74","205","2007","S.J","7","20","201"
"531","Justin Falk","MIN","D","30","1988-10-11","Snowflake","MB","CAN","CAN","77","223","2007","MIN","4","19","110"
"760","Justin Faulk","CAR","D","27","1992-03-20","South St.Paul","MN","USA","USA","72","217","2010","CAR","2","7","37"
"624","Justin Schultz","EDM","D","28","1990-07-06","Kelowna","BC","CAN","CAN","74","193","2008","ANA","2","13","43"
"140","Justin Williams","L.A","R","37","1981-10-04","Cobourg","ON","CAN","CAN","73","184","2000","PHI","1","28","28"
"530","Karl Alzner","WSH","D","30","1988-09-24","Burnaby","BC","CAN","CAN","75","219","2007","WSH","1","5","5"
"474","Kaspars Daugavins","BOS, OTT","L","30","1988-05-18","Riga","","LVA","LVA","72","213","2006","OTT","3","28","91"
"584","Keaton Ellerby","FLA, L.A","D","30","1988-11-05","Strathmore","AB","CAN","CAN","77","220","2007","FLA","1","10","10"
"206","Keith Aucoin","NYI","C","40","1978-11-06","Waltham","MA","USA","USA","68","171","-","-","-","-","-"
"547","Keith Aulie","T.B","D","29","1989-06-11","Rouleau","SK","CAN","CAN","78","222","2007","CGY","4","25","116"
"214","Keith Ballard","VAN","D","36","1982-11-26","Baudette","MN","USA","USA","71","204","2002","BUF","1","11","11"
"420","Keith Yandle","PHX","D","32","1986-09-09","Boston","MA","USA","USA","73","191","2005","PHX","4","14","105"
"97","Kent Huskins","DET, PHI","D","39","1979-05-04","Almonte","ON","CAN","CAN","76","210","1998","CHI","6","11","156"
"190","Kevin Bieksa","VAN","D","37","1981-06-16","Grimsby","ON","CAN","CAN","73","197","2001","VAN","5","20","151"
"447","Kevin Henderson","NSH","L","32","1986-12-03","Toronto","ON","CAN","CAN","75","210","-","-","-","-","-"
"279","Kevin Klein","NSH","D","34","1984-12-13","Kitchener","ON","CAN","CAN","73","206","2003","NSH","2","7","37"
"363","Kevin Porter","BUF","C","33","1986-03-12","Detroit","MI","USA","USA","72","190","2004","PHX","4","21","119"
"540","Kevin Shattenkirk","STL","D","30","1989-01-29","New Rochelle","NY","USA","USA","72","206","2007","COL","1","14","14"
"519","Kevin Westgarth","CAR","R","35","1984-02-07","Amherstburg","ON","CAN","CAN","76","234","-","-","-","-","-"
"16","Kimmo Timonen","PHI","D","44","1975-03-18","Kuopio","","FIN","FIN","70","194","1993","L.A","10","16","250"
"492","Korbinian Holzer","TOR","D","31","1988-02-16","Munich","","DEU","DEU","75","218","2006","TOR","4","18","111"
"417","Kris Letang","PIT","D","31","1987-04-24","Montreal","QC","CAN","CAN","72","201","2005","PIT","3","1","62"
"240","Kris Newbury","NYR","C","37","1982-02-19","Brampton","ON","CAN","CAN","71","205","2002","S.J","5","8","139"
"418","Kris Russell","STL","D","31","1987-05-02","Caroline","AB","CAN","CAN","70","170","2005","CBJ","3","6","67"
"366","Kris Versteeg","FLA","R","32","1986-05-13","Lethbridge","AB","CAN","CAN","71","176","2004","BOS","5","5","134"
"94","Krys Barch","N.J","R","39","1980-03-26","Hamilton","ON","CAN","CAN","74","225","1998","WSH","4","20","106"
"144","Kurtis Foster","PHI","D","37","1981-11-24","Carp","ON","CAN","CAN","77","225","2000","CGY","2","10","40"
"309","Kyle Brodziak","MIN","C","34","1984-05-25","St. Paul","AB","CAN","CAN","74","205","2003","EDM","7","17","214"
"332","Kyle Chipchura","PHX","C","33","1986-02-19","Westlock","AB","CAN","CAN","74","203","2004","MTL","1","18","18"
"685","Kyle Clifford","L.A","L","28","1991-01-13","Ayr","ON","CAN","CAN","74","211","2009","L.A","2","5","35"
"466","Kyle Okposo","NYI","R","30","1988-04-16","St. Paul","MN","USA","USA","72","219","2006","NYI","1","7","7"
"682","Kyle Palmieri","ANA","R","28","1991-02-01","Smithtown","NY","USA","USA","71","185","2009","ANA","1","26","26"
"297","Kyle Quincey","DET","D","33","1985-08-12","Kitchener","ON","CAN","CAN","74","210","2003","DET","4","31","132"
"555","Kyle Turris","OTT","C","29","1989-08-14","New Westminster","BC","CAN","CAN","73","190","2007","PHX","1","3","3"
"188","Kyle Wellwood","WPG","C","35","1983-05-16","Windsor","ON","CAN","CAN","70","181","2001","TOR","5","3","134"
"330","Ladislav Smid","EDM","D","33","1986-02-01","Frydlant","","CZE","CZE","76","210","2004","ANA","1","9","9"
"732","Lane MacDermid","BOS, DAL","L","29","1989-08-25","Hartford","CT","USA","USA","75","215","2009","BOS","4","21","112"
"585","Lars Eller","MTL","C","29","1989-05-08","Rodovre","","DNK","DNK","74","207","2007","STL","1","13","13"
"333","Lauri Korpikoski","PHX","L","32","1986-07-28","Turku","","FIN","FIN","73","193","2004","NYR","1","19","19"
"299","Lee Stempniak","CGY","R","36","1983-02-04","West Seneca","NY","USA","USA","71","195","2003","STL","5","12","148"
"375","Lennart Petrell","EDM","L","34","1984-04-13","Helsinki","","FIN","FIN","75","215","2004","CBJ","6","27","190"
"468","Leo Komarov","TOR","C","32","1987-01-23","Narva","","EST","FIN","71","209","2006","TOR","6","27","180"
"550","Logan Couture","S.J","C","30","1989-03-28","Guelph","ON","CAN","CAN","73","200","2007","S.J","1","9","9"
"278","Loui Eriksson","DAL","L","33","1985-07-17","Gothenburg","","SWE","SWE","74","179","2003","DAL","2","3","33"
"149","Lubomir Visnovsky","NYI","D","42","1976-08-11","Topolcany","","SVK","SVK","70","192","2000","L.A","4","22","118"
"614","Luca Sbisa","ANA","D","29","1990-01-30","Ozieri","","ITA","CHE","74","204","2008","PHI","1","19","19"
"627","Luke Adam","BUF","C","28","1990-06-18","St. John's","NL","CAN","CAN","74","188","2008","BUF","2","14","44"
"605","Luke Schenn","PHI","D","29","1989-11-02","Saskatoon","SK","CAN","CAN","74","221","2008","TOR","1","5","5"
"698","Magnus Paajarvi","EDM","L","28","1991-04-12","Norrkoping","","SWE","SWE","75","206","2009","EDM","1","10","10"
"78","Manny Malhotra","VAN","C","38","1980-05-18","Mississauga","ON","CAN","CAN","74","207","1998","NYR","1","7","7"
"302","Marc Methot","OTT","D","33","1985-06-21","Ottawa","ON","CAN","CAN","76","230","2003","CBJ","6","1","168"
"402","Marc Staal","NYR","D","32","1987-01-13","Thunder Bay","ON","CAN","CAN","76","213","2005","NYR","1","12","12"
"204","Marc-Andre Bergeron","CAR, T.B","D","38","1980-10-13","Trois-Rivieres","QC","CAN","CAN","69","190","-","-","-","-","-"
"424","Marc-Andre Gragnani","CAR","D","32","1987-03-11","Montreal","QC","CAN","CAN","75","205","2005","BUF","3","26","87"
"413","Marc-Edouard Vlasic","S.J","D","32","1987-03-30","Montreal","QC","CAN","CAN","73","205","2005","S.J","2","5","35"
"171","Marcel Goc","FLA","C","35","1983-08-24","Calw","","DEU","DEU","73","197","2001","S.J","1","20","20"
"633","Marco Scandella","MIN","D","29","1990-02-23","Montreal","QC","CAN","CAN","75","210","2008","MIN","2","25","55"
"721","Marcus Foligno","BUF","L","27","1991-08-10","Buffalo","NY","USA","CAN","75","228","2009","BUF","4","13","104"
"680","Marcus Johansson","WSH","L","28","1990-10-06","Landskrona","","SWE","SWE","73","205","2009","WSH","1","24","24"
"735","Marcus Kruger","CHI","C","28","1990-05-27","Stockholm","","SWE","SWE","72","186","2009","CHI","5","28","149"
"193","Marek Zidlicky","N.J","D","42","1977-02-03","Most","","CZE","CZE","71","190","2001","NYR","6","11","176"
"131","Marian Gaborik","CBJ, NYR","R","37","1982-02-14","Trencin","","SVK","SVK","73","200","2000","MIN","1","3","3"
"61","Marian Hossa","CHI","R","40","1979-01-12","Stará Lubovna","","SVK","SVK","73","207","1997","OTT","1","12","12"
"789","Mark Arcobello","EDM","R","30","1988-08-12","Milford","CT","USA","USA","68","174","-","-","-","-","-"
"656","Mark Barberio","T.B","D","29","1990-03-23","Montreal","QC","CAN","CAN","73","200","2008","T.B","6","1","152"
"650","Mark Borowiecki","OTT","D","29","1989-07-12","Ottawa","ON","CAN","CAN","73","207","2008","OTT","5","18","139"
"667","Mark Cundari","CGY","D","28","1990-04-23","Toronto","ON","CAN","CAN","69","195","-","-","-","-","-"
"103","Mark Eaton","PIT","D","41","1977-05-06","Wilmington","DE","USA","USA","73","215","-","-","-","-","-"
"435","Mark Fayne","N.J","D","31","1987-05-15","Nashua","NH","USA","USA","75","209","2005","N.J","5","30","155"
"338","Mark Fistric","EDM","D","32","1986-06-01","Edmonton","AB","CAN","CAN","74","225","2004","DAL","1","28","28"
"423","Mark Fraser","TOR","D","32","1986-09-29","Ottawa","ON","CAN","CAN","76","220","2005","N.J","3","23","84"
"322","Mark Giordano","CGY","D","35","1983-10-03","Toronto","ON","CAN","CAN","72","200","-","-","-","-","-"
"521","Mark Letestu","CBJ","C","34","1985-02-04","Elk Point","AB","CAN","CAN","70","195","-","-","-","-","-"
"651","Mark Olver","COL","C","31","1988-01-01","Burnaby","BC","CAN","CAN","70","170","2008","COL","5","19","140"
"780","Mark Pysyk","BUF","D","27","1992-01-11","Sherwood Park","AB","CAN","CAN","73","200","2010","BUF","1","23","23"
"809","Mark Scheifele","WPG","C","26","1993-03-15","Kitchener","ON","CAN","CAN","75","207","2011","WPG","1","7","7"
"785","Mark Stone","OTT","R","26","1992-05-13","Winnipeg","MB","CAN","CAN","75","219","2010","OTT","6","28","178"
"127","Mark Streit","NYI","D","41","1977-12-11","Bern","","CHE","CHE","71","186","2004","MTL","9","4","262"
"272","Mark Stuart","WPG","D","34","1984-04-27","Rochester","MN","USA","USA","74","215","2003","BOS","1","21","21"
"118","Martin Erat","NSH, WSH","R","37","1981-08-29","Trebic","","CZE","CZE","72","196","1999","NSH","7","5","191"
"403","Martin Hanzal","PHX","C","32","1987-02-20","Pisek","","CZE","CZE","78","230","2005","PHX","1","17","17"
"109","Martin Havlat","S.J","R","37","1981-04-19","Mlada Boleslav","","CZE","CZE","74","210","1999","OTT","1","26","26"
"70","Martin St. Louis","T.B","R","43","1975-06-18","Laval","QC","CAN","CAN","68","180","-","-","-","-","-"
"38","Marty Reasoner","NYI","C","42","1977-02-26","Honeoye Falls","NY","USA","USA","73","197","1996","STL","1","14","14"
"391","Mason Raymond","VAN","L","33","1985-09-17","Cochrane","AB","CAN","CAN","73","179","2005","VAN","2","21","51"
"509","Mathieu Perreault","WSH","C","31","1988-01-05","Drummondville","QC","CAN","CAN","70","188","2006","WSH","6","24","177"
"310","Mathieu Roy","T.B","D","35","1983-08-10","St. Georges","QC","CAN","CAN","74","210","2003","EDM","7","18","215"
"752","Mats Zuccarello","NYR","R","31","1987-09-01","Oslo","","NOR","NOR","68","184","-","-","-","-","-"
"525","Matt Anderson","N.J","R","36","1982-10-31","West Islip","NY","USA","USA","71","195","-","-","-","-","-"
"663","Matt Bartkowski","BOS","D","30","1988-06-04","Pittsburgh","PA","USA","USA","73","198","2008","FLA","7","9","190"
"476","Matt Beleskey","ANA","L","30","1988-06-07","Windsor","ON","CAN","CAN","72","207","2006","ANA","4","19","112"
"648","Matt Calvert","CBJ","L","29","1989-12-24","Brandon","MB","CAN","CAN","71","186","2008","CBJ","5","6","127"
"113","Matt Carkner","NYI","D","38","1980-11-03","Winchester","ON","CAN","CAN","77","229","1999","MTL","2","30","58"
"281","Matt Carle","T.B","D","34","1984-09-25","Anchorage","AK","USA","USA","72","197","2003","S.J","2","17","47"
"55","Matt Cooke","PIT","L","40","1978-09-07","Belleville","ON","CAN","CAN","71","216","1997","VAN","6","10","144"
"42","Matt Cullen","MIN","C","42","1976-11-02","Virginia","MN","USA","USA","73","202","1996","ANA","2","9","35"
"440","Matt D'Agostini","N.J, STL","R","32","1986-10-23","Sault Ste. Marie","ON","CAN","CAN","72","198","2005","MTL","6","28","190"
"692","Matt Duchene","COL","C","28","1991-01-16","Haliburton","ON","CAN","CAN","71","195","2009","COL","1","3","3"
"210","Matt Ellis","BUF","L","37","1981-08-31","Welland","ON","CAN","CAN","72","208","-","-","-","-","-"
"750","Matt Fraser","DAL","R","28","1990-05-20","Red Deer","AB","CAN","CAN","75","188","-","-","-","-","-"
"587","Matt Frattin","TOR","R","31","1988-01-03","Edmonton","AB","CAN","CAN","72","205","2007","TOR","4","8","99"
"677","Matt Gilroy","NYR","D","34","1984-07-20","North Bellmore","NY","USA","USA","73","199","-","-","-","-","-"
"221","Matt Greene","L.A","D","35","1983-05-13","Grand Ledge","MI","USA","USA","75","236","2002","EDM","2","14","44"
"560","Matt Halischuk","NSH","R","30","1988-06-01","Toronto","ON","CAN","CAN","72","180","2007","N.J","4","26","117"
"150","Matt Hendricks","WSH","L","37","1981-06-17","Blaine","MN","USA","USA","72","211","2000","NSH","5","1","131"
"378","Matt Hunwick","COL","D","33","1985-05-21","Warren","MI","USA","USA","71","194","2004","BOS","7","31","224"
"745","Matt Irwin","S.J","D","31","1987-11-29","Victoria","BC","CAN","CAN","73","207","-","-","-","-","-"
"416","Matt Kassian","OTT","L","32","1986-10-28","Edmonton","AB","CAN","CAN","76","240","2005","MIN","2","27","57"
"653","Matt Martin","NYI","L","29","1989-05-08","Windsor","ON","CAN","CAN","75","220","2008","NYI","5","27","148"
"315","Matt Moulson","NYI","L","35","1983-11-01","North York","ON","CAN","CAN","73","188","2003","PIT","9","2","263"
"409","Matt Niskanen","PIT","D","32","1986-12-06","Virginia","MN","USA","USA","73","203","2005","DAL","1","28","28"
"407","Matt Pelech","S.J","R","31","1987-09-04","Toronto","ON","CAN","CAN","76","230","2005","CGY","1","26","26"
"793","Matt Read","PHI","R","32","1986-06-14","Ilderton","ON","CAN","CAN","70","188","-","-","-","-","-"
"229","Matt Stajan","CGY","C","35","1983-12-19","Mississauga","ON","CAN","CAN","73","195","2002","TOR","2","27","57"
"675","Matt Taormina","T.B","D","32","1986-10-20","Warren","MI","USA","USA","70","188","-","-","-","-","-"
"823","Matt Tennyson","S.J","D","28","1990-04-23","Minneapolis","MN","USA","USA","74","205","-","-","-","-","-"
"738","Matthew Konan","PHI","D","27","1991-09-03","Orange","CA","USA","USA","76","186","-","-","-","-","-"
"156","Matthew Lombardi","ANA, PHX","C","37","1982-03-18","Montreal","QC","CAN","CAN","71","195","2002","CGY","3","27","90"
"720","Mattias Ekholm","NSH","D","28","1990-05-24","Borlange","","SWE","SWE","76","215","2009","NSH","4","11","102"
"616","Mattias Tedenby","N.J","R","29","1990-02-21","Vetlanda","","SWE","SWE","69","175","2008","N.J","1","24","24"
"577","Max Pacioretty","MTL","L","30","1988-11-20","New Canaan","CT","USA","USA","74","206","2007","MTL","1","22","22"
"757","Max Reinhart","CGY","C","27","1992-02-04","West Vancouver","BC","CAN","CAN","73","195","2010","CGY","3","4","64"
"231","Max Talbot","PHI","C","35","1984-02-11","Lemoyne","QC","CAN","CAN","71","186","2002","PIT","8","5","234"
"285","Maxim Lapierre","VAN","C","34","1985-03-29","Saint-Léonard","QC","CAN","CAN","74","215","2003","MTL","2","31","61"
"460","Michael Caruso","FLA","D","30","1988-07-05","Mississauga","ON","CAN","CAN","74","191","2006","FLA","4","10","103"
"617","Michael Del Zotto","NYR","D","28","1990-06-24","Stouffville","ON","CAN","CAN","72","201","2008","NYR","1","20","20"
"494","Michael Frolik","CHI","R","31","1988-02-17","Kladno","","CZE","CZE","73","190","2006","FLA","1","10","10"
"489","Michael Grabner","NYI","R","31","1987-10-05","Villach","","AUT","AUT","73","188","2006","VAN","1","14","14"
"594","Michael Kostka","TOR","D","33","1985-11-28","Etobicoke","ON","CAN","CAN","73","210","-","-","-","-","-"
"102","Michael Ryder","DAL, MTL","R","39","1980-03-31","Bonavista","NL","CAN","CAN","73","200","1998","MTL","8","16","216"
"787","Michael Sgarbossa","COL","C","26","1992-07-25","Campbellville","ON","CAN","CAN","72","186","-","-","-","-","-"
"635","Michael Stone","PHX","D","28","1990-06-07","Winnipeg","MB","CAN","CAN","75","210","2008","PHX","3","8","69"
"32","Michal Handzus","CHI, S.J","C","42","1977-03-11","Banská Bystrica","","SVK","SVK","77","215","1995","STL","4","23","101"
"640","Michal Jordan","CAR","D","28","1990-07-17","Zlin","","CZE","CZE","73","195","2008","CAR","4","14","105"
"49","Michal Rozsival","CHI","D","40","1978-09-03","Vlasim","","CZE","CZE","73","210","1996","PIT","4","25","105"
"591","Micheal Haley","NYR","C","33","1986-03-30","Guelph","ON","CAN","CAN","71","205","-","-","-","-","-"
"808","Mika Zibanejad","OTT","C","25","1993-04-18","Huddinge","","SWE","SWE","74","213","2011","OTT","1","6","6"
"575","Mikael Backlund","CGY","C","30","1989-03-17","Vasteras","","SWE","SWE","73","200","2007","CGY","1","24","24"
"782","Mikael Granlund","MIN","C","27","1992-02-26","Oulu","","FIN","FIN","70","185","2010","MIN","1","9","9"
"96","Mikael Samuelsson","DET","R","42","1976-12-23","Mariefred","","SWE","SWE","74","218","1998","S.J","5","31","145"
"448","Mike Angelidis","T.B","L","33","1985-06-27","Woodbridge","ON","CAN","CAN","73","214","-","-","-","-","-"
"390","Mike Blunden","MTL","R","32","1986-12-15","Toronto","ON","CAN","CAN","76","217","2005","CHI","2","13","43"
"370","Mike Brown","EDM, TOR","R","33","1985-06-24","Chicago","IL","USA","USA","71","205","2004","VAN","5","30","159"
"178","Mike Cammalleri","CGY","L","36","1982-06-08","Toronto","ON","CAN","CAN","69","185","2001","L.A","2","19","49"
"86","Mike Fisher","NSH","C","38","1980-06-05","Peterborough","ON","CAN","CAN","73","216","1998","OTT","2","17","44"
"339","Mike Green","WSH","D","33","1985-10-12","Calgary","AB","CAN","CAN","73","207","2004","WSH","1","29","29"
"673","Mike Hoffman","OTT","L","29","1989-11-24","Kitchener","ON","CAN","CAN","72","180","2009","OTT","5","9","130"
"5","Mike Knuble","PHI","R","46","1972-07-04","Toronto","ON","CAN","USA","75","229","1991","DET","4","10","76"
"164","Mike Komisarek","TOR","D","37","1982-01-19","West Islip","NY","USA","USA","76","235","2001","MTL","1","7","7"
"359","Mike Lundin","OTT","D","34","1984-09-24","Burnsville","MN","USA","USA","74","190","2004","T.B","4","4","102"
"87","Mike Ribeiro","WSH","C","39","1980-02-10","Montreal","QC","CAN","CAN","72","179","1998","MTL","2","18","45"
"274","Mike Richards","L.A","C","34","1985-02-11","Kenora","ON","CAN","CAN","71","196","2003","PHI","1","24","24"
"79","Mike Rupp","MIN, NYR","L","39","1980-01-13","Cleveland","OH","USA","USA","77","235","2000","N.J","3","11","76"
"373","Mike Santorelli","FLA, WPG","C","33","1985-12-14","Vancouver","BC","CAN","CAN","72","189","2004","NSH","6","15","178"
"129","Mike Weaver","FLA","D","40","1978-05-02","Brampton","ON","CAN","CAN","70","186","-","-","-","-","-"
"463","Mike Weber","BUF","D","31","1987-12-16","Pittsburgh","PA","USA","USA","74","188","2006","BUF","2","27","57"
"369","Mikhail Grabovski","TOR","C","35","1984-01-31","Potsdam","","DEU","BLR","71","186","2004","MTL","5","21","150"
"834","Mikhail Grigorenko","BUF","C","24","1994-05-16","Khabarovsk","","RUS","RUS","75","209","2012","BUF","1","12","12"
"608","Mikkel Boedker","PHX","L","29","1989-12-16","Brondby","","DNK","DNK","72","210","2008","PHX","1","8","8"
"163","Mikko Koivu","MIN","C","36","1983-03-12","Turku","","FIN","FIN","75","219","2001","MIN","1","6","6"
"22","Milan Hejduk","COL","R","43","1976-02-14","Usti","","CZE","CZE","72","190","1994","QUE","4","9","87"
"472","Milan Lucic","BOS","L","30","1988-06-07","Vancouver","BC","CAN","CAN","75","231","2006","BOS","2","20","50"
"260","Milan Michalek","OTT","L","34","1984-12-07","Jindrichuv Hradec","","CZE","CZE","74","225","2003","S.J","1","6","6"
"830","Nail Yakupov","EDM","R","25","1993-10-06","Nizhnekamsk","","RUS","RUS","71","195","2012","EDM","1","1","1"
"743","Nate Prosser","MIN","D","32","1986-05-07","Elk River","MN","USA","USA","74","201","-","-","-","-","-"
"304","Nate Thompson","T.B","C","34","1984-10-05","Anchorage","AK","USA","USA","72","207","2003","BOS","6","16","183"
"817","Nathan Beaulieu","MTL","D","26","1992-12-05","Strathroy","ON","CAN","CAN","74","200","2011","MTL","1","17","17"
"432","Nathan Gerbe","BUF","C","31","1987-07-24","Oxford","MI","USA","USA","64","176","2005","BUF","5","17","142"
"258","Nathan Horton","BOS","R","33","1985-05-29","Welland","ON","CAN","CAN","74","188","2003","FLA","1","3","3"
"696","Nazem Kadri","TOR","C","28","1990-10-06","London","ON","CAN","CAN","72","192","2009","TOR","1","7","7"
"763","Nick Bjugstad","FLA","C","26","1992-07-17","Minneapolis","MN","USA","USA","78","215","2010","FLA","1","19","19"
"534","Nick Bonino","ANA","C","30","1988-04-20","Hartford","CT","USA","USA","73","196","2007","S.J","6","22","173"
"437","Nick Drazenovic","CBJ","C","32","1987-01-14","Prince George","BC","CAN","CAN","72","192","2005","STL","6","9","171"
"462","Nick Foligno","CBJ","L","31","1987-10-31","Buffalo","NY","USA","USA","72","202","2006","OTT","1","28","28"
"589","Nick Holden","CBJ","D","31","1987-05-15","St. Albert","AB","CAN","CAN","76","214","-","-","-","-","-"
"350","Nick Johnson","PHX","R","33","1985-12-24","Calgary","AB","CAN","CAN","74","200","2004","PIT","3","2","67"
"703","Nick Leddy","CHI","D","28","1991-03-20","Eden Prairie","MN","USA","USA","72","207","2009","MIN","1","16","16"
"541","Nick Petrecki","S.J","D","29","1989-07-11","Schenectady","NY","USA","USA","75","230","2007","S.J","1","28","28"
"142","Nick Schultz","EDM","D","36","1982-08-25","Strasbourg","SK","CAN","CAN","73","203","2000","MIN","2","3","33"
"562","Nick Spaling","NSH","C","30","1988-09-19","Palmerston","ON","CAN","CAN","73","198","2007","NSH","2","28","58"
"493","Nicklas Backstrom","WSH","C","31","1987-11-23","Gävle","","SWE","SWE","73","210","2006","WSH","1","4","4"
"346","Nicklas Grossmann","PHI","D","34","1985-01-22","Stockholm","","SWE","SWE","76","230","2004","DAL","2","26","56"
"818","Nicklas Jensen","VAN","R","26","1993-03-06","Herning","","DNK","DNK","75","216","2011","VAN","1","29","29"
"441","Nicolas Blanchard","CAR","L","31","1987-05-31","Granby","QC","CAN","CAN","75","205","2005","CAR","6","30","192"
"84","Nik Antropov","WPG","C","39","1980-02-18","Ust-Kamenogorsk","","KAZ","KAZ","78","245","1998","TOR","1","10","10"
"367","Nikita Nikitin","CBJ","D","32","1986-06-16","Omsk","","RUS","RUS","76","217","2004","STL","5","7","136"
"430","Niklas Hjalmarsson","CHI","D","31","1987-06-06","Eksjo","","SWE","SWE","75","197","2005","CHI","4","17","108"
"141","Niklas Kronwall","DET","D","38","1981-01-12","Stockholm","","SWE","SWE","72","194","2000","DET","1","29","29"
"501","Nikolay Kulemin","TOR","L","32","1986-07-14","Magnitogorsk","","RUS","RUS","73","228","2006","TOR","2","14","44"
"110","Nolan Yonkman","FLA","D","38","1981-04-01","Punnichy","SK","CAN","CAN","78","247","1999","WSH","2","9","37"
"695","Oliver Ekman-Larsson","PHX","D","27","1991-07-17","Karlskrona","","SWE","SWE","74","200","2009","PHX","1","6","6"
"737","Oliver Lauridsen","PHI","D","30","1989-03-24","Gentofte","","DNK","DNK","78","220","2009","PHI","7","15","196"
"59","Olli Jokinen","WPG","C","40","1978-12-05","Kuopio","","FIN","FIN","74","210","1997","L.A","1","3","3"
"798","Ondrej Palat","T.B","L","28","1991-03-28","Frydek-Mistek","","CZE","CZE","72","188","2011","T.B","7","27","208"
"551","P.K. Subban","MTL","D","29","1989-05-13","Toronto","ON","CAN","CAN","72","210","2007","MTL","2","13","43"
"200","PA Parenteau","COL","R","36","1983-03-24","Hull","QC","CAN","CAN","72","200","2001","ANA","9","5","264"
"71","Pascal Dupuis","PIT","R","40","1979-04-07","Laval","QC","CAN","CAN","73","205","-","-","-","-","-"
"446","Patric Hornqvist","NSH","R","32","1987-01-01","Sollentuna","","SWE","SWE","71","189","2005","NSH","7","36","230"
